AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ,work_notWork
1508,15264,3772,27.21,2479,4183,-9475,0
7516,5868,4688,27.26,1074,12127,27097,0
27204,916,9900,27.26,13131,-11101,32767,0
11260,-6920,10284,27.12,-19229,-9996,-23362,0
15840,-5120,5280,27.21,10576,15163,-1196,0
16916,-4448,4944,27.21,-5507,13696,-1816,0
13208,-4488,1940,27.26,178,3067,-7587,0
23888,-6176,6232,27.17,-8831,-7548,8230,0
15216,-5684,12520,27.31,-32768,-11715,-30952,0
11008,632,10236,27.21,-10402,1474,13153,0
27448,7992,6184,27.17,-17405,22567,13367,0
20472,4496,388,27.12,-6522,18462,-5447,0
17476,-17784,4124,27.26,15065,1921,-9343,0
14960,-6328,10556,27.21,-7778,-9326,6535,0
10696,4352,9448,27.21,-12656,-2386,-4062,0
22792,608,3428,27.21,9077,856,3066,0
16260,-4524,4604,27.21,-13629,-6636,4371,0
14212,-7640,4808,27.21,11911,9108,-2479,0
14936,-4872,3168,27.21,-9361,5819,-3625,0
16024,-2624,3300,27.26,-7993,3089,-4386,0
17532,-3312,4084,27.26,-2557,-6738,-2241,0
14868,-6512,3608,27.26,-4123,-2669,-1578,0
23860,-10252,-2264,27.26,9840,-11026,11611,0
20912,204,-4464,27.26,-27072,-25189,-15554,0
-1892,-3892,6236,27.21,-11518,56,12196,0
32767,-2652,-2976,27.26,11230,19202,3639,0
27276,-16752,580,27.17,32767,8505,-22321,0
14568,-1720,8932,27.21,-27652,-18702,1245,0
15676,2120,6520,27.26,11136,-3530,2176,0
21404,2008,8440,27.21,-14717,-2127,6823,0
12444,-2016,4084,27.17,14155,3946,-594,0
16660,-6344,1400,27.21,5550,2999,2195,0
14832,-3940,3128,27.26,-3181,-498,1959,0
13788,-3120,3704,27.21,-3223,-750,-2488,0
19644,-5232,1344,27.17,2427,4763,-144,0
18688,-1888,3828,27.17,-18338,-2485,5219,0
15748,3004,4088,27.26,1309,-5567,-3144,0
17032,676,5640,27.26,6115,4667,7456,0
20200,-5144,1176,27.21,15314,8351,-2907,0
15892,-8488,2604,27.26,-21526,-17501,11484,0
14064,-3660,4648,27.21,22161,711,-2942,0
16468,-7056,2768,27.12,23808,11179,-869,0
23408,-7768,-1256,27.21,-7605,-4334,13246,0
22224,-808,3028,27.21,-12192,-18982,4282,0
18992,-1452,1868,27.21,173,-12187,-1634,0
17896,1612,4300,27.26,18952,8360,-14939,0
22056,-5280,6484,27.21,32767,2289,-9432,0
13160,-14828,5752,27.17,2296,-3476,23172,0
19384,-9652,6184,27.17,-16105,7590,10624,0
16300,-3364,7400,27.26,18217,24102,-7320,0
17456,-8888,2876,27.26,18945,4142,6830,0
17476,-4544,5940,27.21,-4910,-8301,12813,0
30052,-12164,5936,27.21,-10499,-26987,18777,0
15292,-8664,5732,27.26,-6865,-27422,15965,0
1436,4880,7060,27.31,-5749,-3661,-4682,0
32228,-12136,20172,27.21,32767,30774,-27224,0
30672,-32768,15600,27.21,32767,-12883,-28927,0
18320,-4156,18856,27.26,-32768,-20797,29832,0
12340,-668,4264,27.12,-1795,-3593,-10636,0
18184,-3396,4828,27.31,-7231,6192,-3832,0
15560,-5540,6476,27.26,-10344,-1747,-7237,0
18480,-1896,11140,27.26,-32768,10467,3964,0
17616,4128,8948,27.21,-32768,-8371,-3725,0
14440,2660,5156,27.31,9158,19311,3242,0
25300,-2148,700,27.26,-7308,17303,-11605,0
17532,-8416,4084,27.21,-1793,-5840,453,0
13076,-4172,5836,27.26,-1975,-10035,-1058,0
21916,-21348,380,27.26,14878,10161,-13191,0
25124,-4848,8136,27.21,-32768,-1818,8628,0
15852,1240,5980,27.17,3200,-4675,4287,0
12608,-6536,-924,27.17,2141,5529,-8319,0
14076,-3976,-2252,27.31,11175,2989,-14987,0
13896,-1096,3128,27.21,-36,2240,1086,0
16408,-608,1800,27.21,-8674,-1607,3392,0
28832,-4292,5984,27.21,-21264,5838,-8416,0
32767,-19944,-3296,27.35,-9236,-8416,5756,0
8804,5564,11952,27.26,-16650,-9974,-514,0
2784,-6392,10996,27.26,-3296,2556,3111,0
-10884,-11816,-18248,27.26,-634,5783,32767,0
21124,1696,4228,27.26,-3365,-2357,-742,0
21436,7552,3772,27.31,-7099,-3312,-17295,0
10016,17776,2168,27.31,-4976,-155,-18926,0
13856,9636,-2592,27.21,-2069,1607,-4054,0
18536,13012,-1576,27.21,3818,-19252,7894,0
13396,9860,-7640,27.21,5873,-23254,12572,0
8424,1864,-15468,27.31,-2952,-9528,19821,0
7976,3092,-10540,27.31,-4715,-5818,8197,0
6760,4216,-9444,27.31,-4702,438,4159,0
8468,3916,-12632,27.26,1980,4882,5717,0
18584,-9560,-22968,27.31,11655,-3636,-3832,0
5728,-4720,-8564,27.26,8536,-4596,858,0
13004,-1900,-12404,27.26,-10666,242,6333,0
3700,-988,-10832,27.26,3738,1797,-16399,0
13344,-2452,-13864,27.21,-11827,1271,2250,0
7680,-2164,-14840,27.26,1328,-2721,6234,0
2116,-2768,-12840,27.21,4124,1717,4387,0
7008,-4276,-5680,27.31,4996,4542,-5757,0
11088,-3352,-3932,27.26,5955,12182,-7783,0
16948,-9448,1444,27.35,14983,19102,3171,0
18244,-8336,9100,27.31,12280,12569,5610,0
